column,type,group,applies_to,default_when_absent,description,emits,related
rear_wetland_polygon,yes_no,rule_emission,rear,no,"Should lnk_rules_build emit the `waterbody_type: W` polygon rule (drives wetland_rearing flag, populating wetland_rearing_ha rollup)? When yes (requires rear_wetland=yes), emits the W rule with edge_types_explicit: [1000, 1100] mainlines filter. When no (or absent), only the carve-out emits.","waterbody_type: W + edge filter (rear)",-
rear_wetland_area_only,yes_no,rule_emission,rear,no,"When yes, emits `area_only: true` on the W polygon rule. Same shape as rear_lake_area_only.",area_only: true on W rule,fresh#182
rear_all_edges,yes_no,rule_emission,rear,no,"Override: drop the edge_types filter on the rear-stream rule (matches every accessible segment regardless of edge_type). Used by BT in bcfishpass bundle to match bcfishpass's BT rear access logic. Higher precedence than rear_stream's normal emission.","empty rule (no edge_types) (rear)",-
river_skip_cw_min,yes_no,rule_emission,both,no,"Should the river polygon rule (`waterbody_type: R`) skip the cw_min check? When yes, emits `channel_width: [0, 9999]` on the river rule - biology of large rivers spawning/rearing fish regardless of FWA cw measurement. Spawn-side bypass; complements the rearing stream_order bypass (rear_stream_order_bypass).","channel_width: [0, 9999] on R rule",-
rear_stream_order_bypass,yes_no,rule_emission,rear,no,"Currently inert: column reads, no SQL emission yet. Once fresh#158 ships frs_order_child, lnk will emit a per-species frs_order_child invocation when this is yes. Captures the bcfishpass rearing bypass `(stream_order_parent >= 5 AND stream_order = 1)`.","channel_width_min_bypass placeholder (not yet emitted)",fresh#158
spawn_requires_connected,character,connected_rules,spawn,empty,"Habitat type that spawn rules' segments must be connected to (e.g. ""rearing"" for SK / KO - spawning happens within reach of rearing lakes). When set, every emitted spawn rule carries `requires_connected: <value>`.",requires_connected on every spawn rule,-
spawn_connected_distance_max,numeric,connected_rules,spawn,empty,"Max network distance (metres) between a spawn segment and the connected target. When set with spawn_requires_connected, every spawn rule carries `connected_distance_max: <value>`.",connected_distance_max on every spawn rule,-
spawn_connected_direction,enum:upstream/downstream/both,connected_rules,spawn,empty,"Direction to walk from spawn segment when looking for the connected target. Drives the spawn_connected: block in rules.yaml.",spawn_connected.direction,-
spawn_connected_gradient_max,numeric,connected_rules,spawn,empty,"Bridge gradient cap when tracing toward the connected target. Drives spawn_connected.gradient_max.",spawn_connected.gradient_max,-
spawn_connected_cw_min,numeric,connected_rules,spawn,empty,"Channel width minimum on the trace to the connected target. Drives spawn_connected.channel_width_min.",spawn_connected.channel_width_min,-
spawn_connected_edge_types,semicolon_list,connected_rules,spawn,empty,"Semicolon-separated list of edge_type integers permitted on the trace toward the connected target. Drives spawn_connected.edge_types.",spawn_connected.edge_types,-
rear_requires_connected,character,connected_rules,rear,empty,"Same shape as spawn_requires_connected, applied to every emitted rear rule.",requires_connected on every rear rule,-
rear_connected_distance_max,numeric,connected_rules,rear,empty,"Same shape as spawn_connected_distance_max, applied to rear rules.",connected_distance_max on every rear rule,-
rear_lake_ha_min,numeric,threshold,rear,fresh thresholds CSV,"Per-species override for the L polygon rule's lake_ha_min. When set, wins over fresh's parameters_habitat_thresholds.csv value. Honoured in both rear_lake_only and additive rear branches.",lake_ha_min on L rule,-
rear_wetland_ha_min,numeric,threshold,rear,no fallback (no fresh column),"Per-species override for the W polygon rule's wetland_ha_min. fresh has no wetland threshold column so this is the only source.",wetland_ha_min on W rule,-
notes,character,free_form,-,empty,"Free-form notes per species - biology references, citations, NGE-vs-bcfishpass deltas, TODO lifelines. Not consumed by lnk_rules_build.",-,-
